id,route_id,direction_id,stop_id,order
1068,17,0,CB200,34
3894,57,1,CB200,51
4189,61,1,CB200,63
4796,75,1,CB200,3
850,15,0,CB240,10
965,16,0,CB240,26
1080,17,1,CB240,6
3839,57,0,CB240,60
4122,61,0,CB240,82
4789,75,0,CB240,58
196,6,1,CB260,45
308,7,1,CB260,25
546,11,0,CB260,70
622,12,0,CB260,2
852,15,0,CB260,12
1082,17,1,CB260,8
1115,18,0,CB260,2
3841,57,0,CB260,62
4124,61,0,CB260,84
4791,75,0,CB260,60
108,6,0,CB930,18
258,7,0,CB930,46
550,11,1,CB930,3
933,15,1,CB930,42
1009,16,1,CB930,23
1069,17,0,CB930,35
1214,19,0,CB930,36
3895,57,1,CB930,52
4190,61,1,CB930,64
4797,75,1,CB930,4
195,6,1,CB940,44
307,7,1,CB940,24
545,11,0,CB940,69
621,12,0,CB940,1
851,15,0,CB940,11
966,16,0,CB940,27
1081,17,1,CB940,7
1114,18,0,CB940,1
1215,19,1,CB940,1
3840,57,0,CB940,61
4123,61,0,CB940,83
4790,75,0,CB940,59
725,12,1,CB950,54
1178,18,1,CB950,33
967,16,0,CB970,28
1216,19,1,CB970,2
9,1,0,CB990,9
18,1,1,CB995,5
1203,19,0,CC050,25
1204,19,0,CC060,26
1226,19,1,CC065,12
248,7,0,CC070,36
1059,17,0,CC070,25
1202,19,0,CC070,24
316,7,1,CC080,33
1090,17,1,CC080,16
1227,19,1,CC080,13
317,7,1,CC090,34
1091,17,1,CC090,17
1228,19,1,CC090,14
247,7,0,CC100,35
1058,17,0,CC100,24
1201,19,0,CC100,23
246,7,0,CC110,34
1057,17,0,CC110,23
1200,19,0,CC110,22
318,7,1,CC120,35
1092,17,1,CC120,18
1229,19,1,CC120,15
1198,19,0,CC130,20
1230,19,1,CC130,16
1199,19,0,CC140,21
1231,19,1,CC140,17
207,6,1,CC170,56
319,7,1,CC170,36
1093,17,1,CC170,19
1232,19,1,CC170,18
98,6,0,CC180,8
11738,602,0,CC180,7
206,6,1,CC190,55
99,6,0,CC200,9
11739,602,0,CC200,8
11740,602,1,CC200,1
11760,609,0,CC200,15
11761,609,1,CC200,1
205,6,1,CC210,54
204,6,1,CC220,53
100,6,0,CC230,10
11741,602,1,CC230,2
101,6,0,CC260,11
201,6,1,CC320,50
11735,602,0,CC320,4
202,6,1,CC330,51
11736,602,0,CC330,5
203,6,1,CC335,52
11737,602,0,CC335,6
102,6,0,CC340,12
